"","Ordem","Família","Gênero","Identificação curada","Reads","ASVs","OTUs"
"1","Characiformes","Characidae","Astyanax","Astyanax bimaculatus",90852,32,8
"2","Characiformes","Characidae","Astyanax","Astyanax lacustris",1269452,301,163
"3","Siluriformes","Clariidae","Clarias","Clarias gariepinus",1074,1,1
"4","Cichliformes","Cichlidae","Coptodon","Coptodon rendalli",23047220,1252,368
"5","Cypriniformes","Xenocyprididae","Ctenopharyngodon","Ctenopharyngodon idella",4205,1,1
"6","Cichliformes","Cichlidae","Geophagus","Geophagus brasiliensis",49383,9,6
"7","Gymnotiformes","Gymnotidae","Gymnotus","Gymnotus carapo",9808,10,7
"8","Characiformes","Characidae","Hemigrammus","Hemigrammus marginatus",394276,40,16
"9","Characiformes","Erythrinidae","Hoplias","Hoplias intermedius",2737906,249,109
"10","Characiformes","Erythrinidae","Hoplias","Hoplias malabaricus",26912,12,12
"11","Siluriformes","Loricariidae","Hypostomus","Hypostomus sp.",100456,40,14
"12","Characiformes","Anostomidae","Leporinus","Leporinus sp.",58532,90,74
"13","Siluriformes","Pseudopimelodidae","Lophiosilurus","Lophiosilurus alexandri",2499,1,1
"14","Characiformes","Anostomidae","Megaleporinus","Megaleporinus sp.",20216,4,2
"15","Characiformes","Characidae","Moenkhausia","Moenkhausia costae",6596194,634,59
"16","Characiformes","Serrasalmidae","Myleus","Myleus micans",274,4,4
"17","Characiformes","Characidae","Odontostilbe","Odontostilbe sp.",81757,50,29
"18","Characiformes","Characidae","Oligosarcus","Oligosarcus argenteus",7832,4,2
"19","Clupeiformes","Clupeidae","Opisthonema","Opisthonema sp.",530,1,1
"20","Cichliformes","Cichlidae","Oreochromis","Oreochromis niloticus",152458,117,101
"21","Characiformes","Characidae","Piabina","Piabina argentea",2247,1,1
"22","Siluriformes","Pimelodidae","Pimelodus","Pimelodus sp.",15135,42,40
"23","Cyprinodontiformes","Poeciliidae","Poecilia","Poecilia reticulata",12458,20,20
"24","Characiformes","Prochilodontidae","Prochilodus","Prochilodus sp.",620178,169,78
"25","Characiformes","Characidae","Psalidodon","Psalidodon sp.",2817895,341,138
"26","Siluriformes","Pimelodidae","Pseudoplatystoma","Pseudoplatystoma corruscans",709,1,1
"27","Characiformes","Serrasalmidae","Pygocentrus","Pygocentrus nattereri",126,1,1
"28","Siluriformes","Pimelodidae","Rhamdia","Rhamdia quelen",96349,35,27
"29","Salmoniformes","Salmonidae","Salmo","Salmo salar",3732,4,4
"30","Characiformes","Anostomidae","Schizodon","Schizodon knerii",314260,100,20
"31","Characiformes","Serrasalmidae","Serrasalmus","Serrasalmus brandtii",11454,4,4
"32","Characiformes","Curimatidae","Steindachnerina","Steindachnerina elegans",2125,5,5
"33","Synbranchiformes","Synbranchidae","Synbranchus","Synbranchus marmoratus",1596,1,1
"34","Siluriformes","Trichomycteridae","Trichomycterus","Trichomycterus sp.",524,4,4
